"collar_id","herd_name"
"bf43","2021_herd_a"
"bf4e","2021_herd_a"
"bf5b","2021_herd_a"
"bf6e","2021_herd_a"
"bf6f","2021_herd_a"
"bf89","2021_herd_a"
"bf90","2021_herd_a"
"c00d","2021_herd_a"
"c01a","2021_herd_a"
"c021","2021_herd_a"
"c027","2021_herd_a"
"c028","2021_herd_a"
"c02c","2021_herd_a"
"c02e","2021_herd_a"
"c032","2021_herd_a"
"c040","2021_herd_a"
"c042","2021_herd_a"
"c044","2021_herd_a"
"c045","2021_herd_a"
"c046","2021_herd_a"
"c047","2021_herd_a"
"c049","2021_herd_a"
"c04b","2021_herd_a"
"c04c","2021_herd_a"
"c04e","2021_herd_a"
"c053","2021_herd_a"
"c056","2021_herd_a"
"c05a","2021_herd_a"
"c074","2021_herd_a"
"c075","2021_herd_a"
"c082","2021_herd_a"
"c0d4","2021_herd_a"
"c0d6","2021_herd_a"
"c0d7","2021_herd_a"
"c0dc","2021_herd_a"
"c0dd","2021_herd_a"
"c0e1","2021_herd_a"
"c0e4","2021_herd_a"
"c0e5","2021_herd_a"
"c0e7","2021_herd_a"
"c0eb","2021_herd_a"
"c0ec","2021_herd_a"
"c0f0","2021_herd_a"
"c0f2","2021_herd_a"
"c0f3","2021_herd_a"
"c0f4","2021_herd_a"
"c0f5","2021_herd_a"
"c0f9","2021_herd_a"
"c0fa","2021_herd_a"
"c0fc","2021_herd_a"
"c102","2021_herd_a"
"c103","2021_herd_a"
"c104","2021_herd_a"
"c105","2021_herd_a"
"c106","2021_herd_a"
"c10a","2021_herd_a"
"c10e","2021_herd_a"
"c114","2021_herd_a"
"c115","2021_herd_a"
"c116","2021_herd_a"
"c117","2021_herd_a"
"c118","2021_herd_a"
"c119","2021_herd_a"
"c11a","2021_herd_a"
"c11c","2021_herd_a"
"c11d","2021_herd_a"
"c11e","2021_herd_a"
"c11f","2021_herd_a"
"c120","2021_herd_a"
"c121","2021_herd_a"
"c122","2021_herd_a"
"c124","2021_herd_a"
"c125","2021_herd_a"
"c126","2021_herd_a"
"c127","2021_herd_a"
"c128","2021_herd_a"
"c129","2021_herd_a"
"c12a","2021_herd_a"
"c12b","2021_herd_a"
"c12c","2021_herd_a"
"c12d","2021_herd_a"
"c12f","2021_herd_a"
"c130","2021_herd_a"
"c131","2021_herd_a"
"c132","2021_herd_a"
"c135","2021_herd_a"
"c136","2021_herd_a"
"c137","2021_herd_a"
"c138","2021_herd_a"
"c13b","2021_herd_a"
"c149","2021_herd_a"
"c150","2021_herd_a"
"c153","2021_herd_a"
"c154","2021_herd_a"
"c155","2021_herd_a"
"c169","2021_herd_a"
"c16a","2021_herd_a"
"c172","2021_herd_a"
"c174","2021_herd_a"
"c176","2021_herd_a"
"c179","2021_herd_a"
"c17f","2021_herd_a"
"c180","2021_herd_a"
"c182","2021_herd_a"
"c188","2021_herd_a"
"c189","2021_herd_a"
"c18f","2021_herd_a"
"c190","2021_herd_a"
"c191","2021_herd_a"
"c192","2021_herd_a"
"c195","2021_herd_a"
"c199","2021_herd_a"
"c1dc","2021_herd_a"
"c241","2021_herd_a"
"c24a","2021_herd_a"
"c24c","2021_herd_a"
"c24d","2021_herd_a"
"c25a","2021_herd_a"
"c25c","2021_herd_a"
"c25d","2021_herd_a"
"c262","2021_herd_a"
"c269","2021_herd_a"
"c26a","2021_herd_a"
"c26b","2021_herd_a"
"c26c","2021_herd_a"
"c26d","2021_herd_a"
"c26e","2021_herd_a"
"c275","2021_herd_a"
"c276","2021_herd_a"
"c278","2021_herd_a"
"c279","2021_herd_a"
"c27a","2021_herd_a"
"c27d","2021_herd_a"
"c282","2021_herd_a"
"c287","2021_herd_a"
"c2a7","2021_herd_a"
"c57f","2021_herd_a"
"c580","2021_herd_a"
"c581","2021_herd_a"
"c582","2021_herd_a"
"c583","2021_herd_a"
"c584","2021_herd_a"
"c585","2021_herd_a"
"c586","2021_herd_a"
"c587","2021_herd_a"
"c588","2021_herd_a"
"c589","2021_herd_a"
"c58a","2021_herd_a"
"c58c","2021_herd_a"
"c58d","2021_herd_a"
"c58e","2021_herd_a"
"c58f","2021_herd_a"
"c590","2021_herd_a"
"c591","2021_herd_a"
"c592","2021_herd_a"
"c594","2021_herd_a"
"c595","2021_herd_a"
"c59a","2021_herd_a"
"c59b","2021_herd_a"
"c5af","2021_herd_a"
"c5b2","2021_herd_a"
"c5b3","2021_herd_a"
"c5bd","2021_herd_a"
"c670","2021_herd_a"
"f5e0","2020_herd_a_heifers"
"f531","2020_herd_a_heifers"
"f5ba","2020_herd_a_heifers"
"f592","2020_herd_a_heifers"
"f5b9","2020_herd_a_heifers"
"f58f","2020_herd_a_heifers"
"f56f","2020_herd_a_heifers"
"f5b8","2020_herd_a_heifers"
"f588","2020_herd_a_heifers"
"f58e","2020_herd_a_heifers"
"f570","2020_herd_a_heifers"
"f594","2020_herd_a_heifers"
"f593","2020_herd_a_heifers"
"f52e","2020_herd_a_heifers"
"f501","2020_herd_a_heifers"
"f5a2","2020_herd_a_heifers"
"f5d7","2020_herd_a_heifers"
"f5a3","2020_herd_a_heifers"
"f4ec","2020_herd_a_heifers"
"f52f","2020_herd_a_heifers"
"f575","2020_herd_a_heifers"
"f57f","2020_herd_a_heifers"
"f5c6","2020_herd_a_heifers"
"f576","2020_herd_a_heifers"
"f665","2020_herd_a_heifers"
"f595","2020_herd_a_heifers"
"f532","2020_herd_a_heifers"
"f526","2020_herd_a_heifers"
"f578","2020_herd_a_heifers"
"f590","2020_herd_a_heifers"
"f574","2020_herd_a_heifers"
"f57a","2020_herd_a_heifers"
"f571","2020_herd_a_heifers"
"f5aa","2020_herd_a_heifers"
"f59f","2020_herd_a_heifers"
"f5a1","2020_herd_a_heifers"
"f5ab","2020_herd_a_heifers"
"f5c5","2020_herd_a_heifers"
"f587","2020_herd_a_heifers"
"f664","2020_herd_a_heifers"
"f5af","2020_herd_a_heifers"
"f5a9","2020_herd_a_heifers"
"f5cf","2020_herd_a_heifers"
"f57c","2020_herd_a_heifers"
"f5a0","2020_herd_a_heifers"
"f5d8","2020_herd_a_heifers"
"f52b","2020_herd_a_heifers"
"f4fb","2020_herd_a_heifers"
"f5c8","2020_herd_a_heifers"
"f5ae","2020_herd_a_heifers"
"f596","2020_herd_a_heifers"
"f579","2020_herd_a_heifers"
"f598","2020_herd_a_heifers"
"f502","2020_herd_a_heifers"
"f59c","2020_herd_a_heifers"
"f591","2020_herd_a_heifers"
"f589","2020_herd_a_heifers"
"f58a","2020_herd_a_heifers"
"f5ac","2020_herd_a_heifers"
"f57b","2020_herd_a_heifers"
"f59d","2020_herd_a_heifers"
"f5ad","2020_herd_a_heifers"
"f58b","2020_herd_a_heifers"
